list of data alert,,,,,,,,,
,,,,,,,,,
item,bloomberg/haver ticker,,,,,,,,
,,,,,,,,,
slovakia unemployment rate,SLUER Index,,,,,,,,
,,,,,,,,,
swiss gold export to china,CHNIGCNE@ALPMED,,,,,,,,
,,,,,,,,,
DB siren,DBSRMEA Index,,,,,,,,
,,,,,,,,,
China agg financing,CNLNNEW Index,,,,,,,,
,,,,,,,,,
new yuan loan,CNMS1YOY Index,,,,,,,,
,,,,,,,,,
M1,CNLNASF Index,,,,,,,,
,,,,,,,,,
Poland industrial production,POISCMOM Index,,,,,,,,
,,,,,,,,,
Taiwan export orders,TWEOTTLY Index,,,,,,,,
,,,,,,,,,
German consumer confidence,ECO1GFKC Index,,,,,,,,
,,,,,,,,,
Turkey consumer confidence,TUCDCONS Index,,,,,,,,
,,,,,,,,,
Australia employment change,AULFEMPC Index,,,,,,,,
,,,,,,,,,
unemployment rate,AULFUNEM Index,,,,,,,,
HICP,ECCPEST Index,,,,,,,,
,,,,,,,,,
core,CPEXEMUY Index,,,,,,,,
,,,,,,,,,
GDP,EUGNEMUQ Index,,,,,,,,
,,,,,,,,,
IP,EUITEMUM Index,,,,,,,,
,,,,,,,,,
Loans to non financial corporates,MFIKNFGS Index,,,,,,,,
,,,,,,,,,
retail sales,RSSAEMUM Index,,,,,,,,
,,,,,,,,,
trade balance,XTSBEZ Index,,,,,,,,
,,,,,,,,,
Unemployment rate,UMRTEMU Index,,,,,,,,
,,,,,,,,,
composite pmi,MPMIEZCA Index,,,,,,,,
,,,,,,,,,
Sentix,SNTEEUGX Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Finland,,,,,,,,,
,,,,,,,,,
Monthly GDP,FIGPNIY Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
France,,,,,,,,,
,,,,,,,,,
Composite PMI,MPMIFRCA Index,,,,,,,,
,,,,,,,,,
manu pmi,MPMIFRMA Index,,,,,,,,
,,,,,,,,,
service pmi,MPMIFRSA Index,,,,,,,,
,,,,,,,,,
consumer conf,FRCCO Index,,,,,,,,
,,,,,,,,,
HICP,FRCPEECY Index,,,,,,,,
,,,,,,,,,
IP,FPIPYOY Index,,,,,,,,
,,,,,,,,,
Manu IP,FRMPYOY Index,,,,,,,,
,,,,,,,,,
INSEE bus conf,INSECOMP Index,,,,,,,,
,,,,,,,,,
Manu,INSESYNT Index,,,,,,,,
,,,,,,,,,
Servives,INSESERV Index,,,,,,,,
,,,,,,,,,
general production exp,INSESURV Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
German,,,,,,,,,
,,,,,,,,,
Consumer conf,ECO1GFKC Index,,,,,,,,
,,,,,,,,,
ZEW,GRZECURR Index,,,,,,,,
,,,,,,,,,
expectation,GRZEWI Index,,,,,,,,
,,,,,,,,,
composite pmi,MPMIDECA Index,,,,,,,,
,,,,,,,,,
manu pmi,MPMIDEMA Index,,,,,,,,
,,,,,,,,,
service pmi,MPMIDESA Index,,,,,,,,
,,,,,,,,,
Export,GRTBEXE Index,,,,,,,,
,,,,,,,,,
import,GRTBIME Index,,,,,,,,
,,,,,,,,,
factory orders,GRIORTYY Index,,,,,,,,
,,,,,,,,,
domestic factory orders,GRIORDYY Index,,,,,,,,
,,,,,,,,,
IFO,GRIFPBUS Index,,,,,,,,
,,,,,,,,,
expectations,GRIFPEX Index,,,,,,,,
,,,,,,,,,
current assessment,GRIFPCA Index,,,,,,,,
,,,,,,,,,
IFO services,GRIFPDRE Index,,,,,,,,
,,,,,,,,,
IFO construction,GRIFPCON Index,,,,,,,,
,,,,,,,,,
wholesale,GRIFPWHL Index,,,,,,,,
,,,,,,,,,
IP,GEINYY Index,,,,,,,,
,,,,,,,,,
saxony cpi,GRCP2SAY Index,,,,,,,,
,,,,,,,,,
unemployment change,GRUECHNG Index,,,,,,,,
,,,,,,,,,
unemployment rate,GRUEPR Index,,,,,,,,
,,,,,,,,,
Sentix,SNTEDEGX Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Greece,,,,,,,,,
,,,,,,,,,
Manu pmi,MPMIGRMA Index ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Hongkong,,,,,,,,,
,,,,,,,,,
retail sales,HKRSVONY Index,,,,,,,,
,,,,,,,,,
Whole econ pmi,MPMIHKWA Index ,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
Hungary,,,,,,,,,
,,,,,,,,,
consumer conf,HUCCINDX Index,,,,,,,,
,,,,,,,,,
bus conf,HUBCINDX Index,,,,,,,,
,,,,,,,,,
CPI,HUCPIYY Index,,,,,,,,
,,,,,,,,,
GDP,HUGSTQ Index,,,,,,,,
,,,,,,,,,
IP,HUIPIYOY Index,,,,,,,,
,,,,,,,,,
Retail sales,HURTAYOY Index,,,,,,,,
,,,,,,,,,
Unemployment,HUEMUNR Index,,,,,,,,
,,,,,,,,,
Wage growth,HUGWLYOY Index,,,,,,,,
,,,,,,,,,
,,,,,,,,,
,,,,,,,,,
India,,,,,,,,,
,,,,,,,,,
